edge,edge_betweenness,edge_length,edge_embedness,straightness
"(269849473, 4440851021)",0.6241142144416002,0.6172408074397496,0.0,0.25864399175304437
"(269849473, 7695503744)",0.31642099549411123,0.004008284654965578,0.0,0.9928976392995364
"(269849473, 2187233002)",0.19918558369151462,0.008161103902552574,0.0,0.9855855683416789
"(269849473, 2222458416)",0.6341677976337865,0.7560938814870171,0.0,0.15361077517646582
"(4440851021, 1941388452)",0.7133210555385034,0.006037605879533172,0.0,0.9893186433575636
"(4440851021, 4440851014)",1.0,1.0,0.0,0.0
"(4440851021, 7695503743)",0.5981707471487702,0.003365517820974494,0.0,0.994033598629647
"(7695503744, 7695503743)",0.3679747304222252,0.6179721878566634,0.0,0.258050621954886
"(7695503744, 9406097774)",0.12785926005397955,0.008126593825362965,0.0,0.9856461385860203
"(7695503744, 2187233007)",0.24353958585654836,0.3719690314809395,0.0,0.4871537462612779
"(1941388275, 7695503741)",0.23183065741431197,0.003948710164608308,0.0,0.9930028774747652
"(1941388275, 7695503737)",0.3492598801558976,0.30806575982517503,0.0,0.5582351233364518
"(1941388275, 6616131424)",0.3003972759457499,0.006261827034698198,0.0,0.9889238869972098
"(1941388275, 6616167107)",0.13652465800292973,0.4257790057948486,0.0,0.43141475372987015
"(7695503741, 2187255592)",0.32319163415523533,0.7399052896224048,0.0,0.16511503202713734
"(7695503741, 6097987957)",0.6499061548392004,0.30751095225426966,0.0,0.5588772099599506
"(7695503741, 9406097775)",0.6959207020877521,0.504014542835332,0.0,0.35635183210228977
"(7695503737, 6097987957)",0.20070437561369692,0.005636877312654798,0.0,0.9900244941221039
"(7695503737, 6616131479)",0.3146019878196449,0.7124029121336332,0.0,0.18508655252241324
"(7695503737, 3209790734)",0.2687389845012425,0.43418603018439555,0.0,0.4230212712105824
"(1941388452, 9406097775)",0.373257887804206,0.0035482061194183146,0.0,0.9937106191432892
"(1941388452, 6616131424)",0.426373960470221,0.48949830510705233,0.0,0.3697796473494703
"(1941388452, 6616167108)",0.16837372382552085,0.6503088355248119,0.0,0.23226383280925517
"(9406097775, 2187255589)",0.26526761851965774,0.7468581873946508,0.0,0.1601515814739807
"(9406097775, 7695503743)",0.5517781972379349,0.006107285451164422,0.0,0.9891959531356206
"(6616131424, 9406097781)",0.14505120912368047,0.4311986343865701,0.0,0.42599444315378504
"(1941388480, 2187255593)",0.3608598573718977,0.3677805898452219,0.0,0.4916444686023386
"(1941388480, 9406097780)",0.11241493087548508,0.0024580686930787982,0.0,0.9956392590851076
"(1941388480, 2187211145)",0.11241493087548508,0.5815864276210848,0.0,0.2881339181702586
"(2187255593, 2187255592)",0.30564415117909727,0.00039662642991849454,0.0,0.9992952368769709
"(2187255593, 2187255590)",0.14580240056186722,0.5001960793958266,0.0,0.359862837097754
"(9406097780, 7695511497)",0.012114658925657258,0.5789664549535345,0.0,0.2903453778024195
"(2187211145, 7695511497)",0.012114658925657258,0.005473075165631453,0.0,0.990313144369813
"(2187232999, 2187233000)",0.08363987442069253,0.004499397250575246,0.0,0.992030460361424
"(2187232999, 2187232993)",0.06341767158964964,0.5710637719170494,0.0,0.2970536450356523
"(2187232999, 2187255570)",0.07425454622623225,0.004799022198452782,0.0,0.991501723550358
"(2187233000, 5720449311)",0.14878616491124944,0.3706844604598415,0.0,0.48852861131096303
"(2187233000, 2187255571)",0.14565298434718318,0.0050727162541555765,0.0,0.9910189604319543
"(5720449311, 5720449310)",0.12185223297996552,0.0015106547857795633,0.0,0.9973180486785629
"(5720449311, 2222721902)",0.2118943674905511,0.10076438121006107,0.0,0.8339085156527124
"(5720449311, 5720449312)",0.26401821548930526,0.3986513082732189,0.0,0.4590699518381114
"(2187255571, 2187255570)",0.08782158060545052,0.003962013465549525,0.0,0.992979376387043
"(2187255571, 2222458416)",0.32063618686160505,0.3809887388462471,0.0,0.4775596964559704
"(2187255571, 9761263514)",0.08235268300932162,0.21078342001935252,0.0,0.6780957627710016
"(2187233002, 2187255572)",0.15347571030407292,0.4942398099081154,0.0,0.36536958051254603
"(2187233002, 9406097774)",0.08957919826449377,0.003613795976559259,0.0,0.9935946834156213
"(2187255572, 2187255570)",0.09890621368769148,0.6449605356330391,0.0,0.23646922096961787
"(2187233005, 9397949223)",0.06341767158964964,0.28792637077534206,0.0,0.5818326921616035
"(2187233005, 2187233007)",0.0555809894163263,0.007862279740918243,0.0,0.9861101556704073
"(2187233005, 9406097774)",0.10920637868879081,0.3761068607325188,0.0,0.48273950969457213
"(2187233005, 2187233010)",0.025578119005049443,0.36502623557087677,0.0,0.49461002152175926
"(2187233007, 2187233011)",0.05508894691776856,0.3693963323146961,0.0,0.4899094258043436
"(2187233007, 10105883978)",0.06341767158964964,0.5951383071200321,0.0,0.27679340717516293
"(2187233011, 2187233010)",0.07283881378846532,0.011509532474453197,0.0,0.9797239049583317
"(2187233011, 4440848181)",0.19461719531248928,0.6066002089800929,0.0,0.26732858557377825
"(2187233011, 2187255582)",0.049961224456231565,0.0030551563362043177,0.0,0.9945825047536048
"(2187233010, 2187255581)",0.011586714600579195,0.0033993588114177528,0.0,0.9939737633403302
"(4440848181, 2187255589)",0.19250451052589215,0.005532008976313858,0.0,0.9902092834599688
"(4440848181, 7695503743)",0.37196860009182353,0.7456979714432952,0.0,0.16097746127416057
"(4440848181, 4440850991)",0.1320726601455847,0.0025333490342905342,0.0,0.9955059703850074
"(2187255582, 2187255581)",0.02451540318524513,0.01146608572945687,0.0,0.97979976789307
"(2187255582, 4440850991)",0.05678203998062782,0.6066994108859546,0.0,0.26724716854980884
"(2222458416, 2222458407)",0.3392886438519335,0.1009404083690836,0.0,0.8336394800231973
"(2187255578, 2222458412)",0.06341767158964964,0.12378551013971514,0.0,0.7992936329779451
"(2187255578, 4440848186)",0.1953476591367534,0.3860800802715888,0.0,0.4721898523181451
"(2187255578, 2222721902)",0.10158035509170364,0.0015080065001207626,0.0,0.9973227448249439
"(4440848186, 2187255586)",0.17742999381863064,0.005887779206711176,0.0,0.9895824996071496
"(4440848186, 4440851014)",0.2370477232174186,0.0018213857372698092,0.0,0.9967671704109571
"(2187255585, 6616167109)",0.08258374698943294,0.3263590122055401,0.0,0.5373115270333025
"(2187255585, 4440851014)",0.5196098676303565,0.005985275008356453,0.0,0.9894107950779304
"(2187255585, 2187255586)",0.0840388985069966,0.0020333649522156065,0.0,0.9963915162880205
"(2187255585, 9406097783)",0.3232239184935045,0.18760865967043935,0.0,0.7089827747673754
"(6616167109, 6616167108)",0.06345832275431443,0.0002118103065428801,0.0,0.9996235814688786
"(6616167109, 9406097779)",0.03262479734645797,0.18779584418573944,0.0,0.708729407224376
"(4440851014, 2222721891)",0.8616493502122886,0.39663326756835066,0.0,0.4611628630317881
"(2187255586, 9406097782)",0.21696114338136244,0.18826966005473206,0.0,0.7080883512745826
"(9406097782, 6616167111)",0.07586474329399122,0.46823712462513173,0.0,0.38984771639723476
"(9406097782, 9406097783)",0.07803236578406328,0.0015534089710925612,0.0,0.9972422363003048
"(9406097782, 9062831535)",0.1654371179921688,0.38718967088377915,0.0,0.47102390216530077
"(2187255589, 2187255590)",0.14985209402135813,0.0,0.0,1.0
"(2187255589, 2187255592)",0.16721184705137948,0.4995294082188581,0.0,0.36047736821307785
"(2187255590, 4440850991)",0.07960255171548328,0.00435448187597747,0.0,0.9922862751230463
"(2222458407, 2222458417)",0.06341767158964964,0.2999704303824405,0.0,0.5676484989490109
"(2222458407, 2222458418)",0.06341767158964964,0.055123066571807836,0.0,0.9060482517123446
"(2222458407, 2222721888)",0.16373696619680148,0.7863151963070516,0.0,0.13261521473724766
"(2222721888, 2222721893)",0.06341767158964964,0.29693061343684085,0.0,0.5712081065940422
"(2222721888, 2222721895)",0.18790234422135255,0.03573938673983083,0.0,0.9381926516715972
"(2222721888, 2222721908)",0.06341767158964964,0.08217804054973535,0.0,0.8627049052139806
"(2222721895, 2222721891)",0.44507070433179263,0.017891618292962933,0.0,0.9686349658149452
"(2222721895, 9761263515)",0.1268258894889661,0.24840330826774581,0.0,0.6299426979592945
"(2222721895, 2222721912)",0.06341767158964964,0.24887048935963743,0.0,0.6293595471808481
"(2222721891, 2222721902)",0.20140072452638066,0.0014693745608721819,0.0,0.997391252184337
"(2222721891, 5720449310)",0.2336428557600383,0.09843267222162586,0.0,0.8374786969853749
"(5720449310, 9761263514)",0.04621420260283033,0.1507340572342034,0.0,0.7601824608584259
"(9761263515, 2222721897)",0.06341767158964964,0.0708596304416301,0.0,0.8806272764460966
"(9761263515, 9761263514)",0.029215663146988046,0.020490822275471044,0.0,0.9641498616020345
"(3209790734, 7695503738)",0.0009432275019329859,0.06895716054600305,1.0,0.8836691702766118
"(3209790734, 9735855972)",0.010713709025141613,0.006675709120258036,1.0,0.9881955794835645
"(3209790734, 9397949058)",0.16487082022855595,0.7827675670320589,0.0,0.13504807458917473
"(7695503738, 9735855972)",0.022133213660303065,0.06672799944897469,1.0,0.8872443007213706
"(9735855972, 6097987957)",0.14631553094767702,0.43534852018299897,0.0,0.4218671049525104
"(9397949058, 12153100910)",0.06341767158964964,0.24936607719248474,0.0,0.6287413260133692
"(3421627757, 6616167107)",0.057813803792649665,0.002183021930954446,0.0,0.9961263795302716
"(3421627757, 6616131425)",0.02384140276823522,0.006155207814241418,0.0,0.9891115801950296
"(3421627757, 9062831537)",0.025487914376731667,0.33704031345959007,0.0,0.5253124509227245
"(6616167107, 9406097781)",0.037068065046631404,0.005516504984033755,0.0,0.9902366057150366
"(5720449312, 5720449313)",0.06341767158964964,0.28477650603077037,0.0,0.5855781388719368
"(5720449312, 5720449314)",0.06341767158964964,0.31534285205522256,0.0,0.5498544249811566
"(6097987957, 12460294188)",0.4553957458763331,0.32831551427336286,0.0,0.535101770371703
"(12460294188, 12460294187)",0.06341767158964964,0.3878629288730593,0.0,0.4703172007154683
"(12460294188, 12460294189)",0.26401821548930526,0.5442569520321333,0.0,0.3202403404084718
"(6616131425, 9406097781)",0.07228137387421679,0.002088577741781472,0.0,0.996293692496207
"(6616131425, 9062831534)",0.047902303942966115,0.33666952142661005,0.0,0.525726342101349
"(6616131425, 9406097779)",0.030745533901873172,0.34980311903341893,0.0,0.5111805183718495
"(9406097781, 6616131440)",0.003738015666678455,0.3488823309355384,0.0,0.5121926999508118
"(6616131440, 9406097779)",0.01659346817047043,0.0012234938014206377,0.0,0.9978273774279628
"(6616131440, 6616167108)",0.03902422725821549,0.1886762952270794,0.0,0.7075385168211996
"(9406097779, 9406097783)",0.04456326810092099,0.3294899719978788,0.0,0.5337778582673199
"(6616131478, 6616131479)",0.11217021364081943,0.0008755989784245827,0.0,0.9984447323916699
"(6616131478, 6616167110)",0.007321316013495865,0.7700787804545198,1.0,0.14381837699885222
"(6616131478, 9062831536)",0.038447164137740714,0.22694610794153433,1.0,0.6571143365856961
"(6616131479, 9062831537)",0.15967499259334267,0.22683506626918587,0.0,0.6572569550065613
"(6616167110, 9062831536)",0.015755125148740168,0.4802385007933155,1.0,0.3784604408510575
"(9062831537, 9062831536)",0.04860389955019058,0.0010147454938591283,0.0,0.998197770619162
"(9062831537, 9062831534)",0.1609616751209462,0.007661006211103957,0.0,0.9864636289339151
"(9062831536, 9062831535)",0.138237706725744,0.007690929079793372,0.0,0.9864110719250905
"(6616167111, 9062831527)",0.0,0.4358330073542348,0.0,0.4213865468735329
"(9062831527, 9062831535)",0.04866484650715113,0.47970543723455256,0.0,0.37896294338101183
"(9062831535, 9062831534)",0.07066941760597566,0.0010308600708370545,0.0,0.9981691733920434
"(9062831534, 9406097783)",0.20830533131754933,0.38617835379651816,0.0,0.47208652473311863
"(12460294186, 12460294189)",0.06341767158964964,0.13413894024915043,0.0,0.7840918569320873
"(12460294189, 12460294190)",0.06341767158964964,0.25630817187254107,0.0,0.6201231628453323
